Código Departamento,Nombre Departamento,Código Municipio,Nombre Municipio,Prop de Personas en NBI (%),Prop de Personas en miseria,Componente vivienda,Componente Servicios,Componente Hacinamiento,Componente Inasistencia,Componente dependencia económica
05,ANTIOQUIA,854,VALDIVIA,26.97,6.74,8.61,1.09,6.25,5.02,13.76
05,ANTIOQUIA,856,VALPARAÍSO,8.88,0.72,1.00,1.03,2.01,0.66,4.89
05,ANTIOQUIA,858,VEGACHÍ,22.03,4.71,7.32,1.14,5.32,1.38,12.22
05,ANTIOQUIA,861,VENECIA,9.63,0.65,0.36,0.05,2.32,0.99,6.56
05,ANTIOQUIA,873,VIGÍA DEL FUERTE,78.25,20.45,1.74,72.35,11.43,4.57,13.78
05,ANTIOQUIA,885,YALÍ,21.78,5.44,10.72,2.66,4.92,1.57,8.77
05,ANTIOQUIA,887,YARUMAL,11.75,1.27,0.88,0.66,2.32,1.34,7.97
05,ANTIOQUIA,890,YOLOMBÓ,16.12,3.26,2.29,1.87,5.59,1.81,8.17
05,ANTIOQUIA,893,YONDÓ,26.01,6.42,17.60,3.88,2.09,2.80,7.56
05,ANTIOQUIA,895,ZARAGOZA,45.77,16.75,33.39,11.05,7.04,2.85,12.86
